Date,Time Boarded,Line,Name,Direction,Bus,Stop Boarded,Stop Alighted,Time Alighted,Comments,Transfer,Mode
2023-02-08,17:15,144,Av. des Pins,West,30-181,des Pins / Côte-des-Neiges,Station Atwater,17:24,,F,
2023-02-08,17:46,24,Sherbrooke,East,38-010,Sherbrooke / Atwater,Sherbrooke / St-Mathieu,17:50,Code VIII on vehicle id,F,
2023-02-10,21:05,144,Av. des Pins,East,29-003,Dr-Penfield / Côte-des-Neiges,des Pins / L'Hôtel-de-Ville,21:19,Isaac party!,F,
2023-02-10,22:28,11,Parc-du Mont-Royal,West,41-056,Mont-Royal / de Bulllion,Côte-des-Neiges / Forest Hill,22:40,had a bad time :( to 166,T,
2023-02-10,22:46,166,Queen Mary,South,37-055,Côte-des-Neiges / Forest Hill,Côte-des-Neiges / Summerhill,22:52,from 11,T,
2023-02-11,17:03,24,Sherbrooke ,East,38-025,Sherbrooke / Chomedy,Sherbrooke / St-Mathieu,17:05,,F,
2023-02-11,17:43,144,Av. des Pins,East,maybe 29-014,Dr-Penfield / Côte-des-Neiges,des Pins / Parc,17:49,,F,
2023-02-11,20:45,144,Av. des Pins,West,29-014,des Pins / Parc,des Pins / Côte-des-Neiges,20:52,,F,
2023-02-13,18:44,24,Sherbrooke,East,38-015,Sherbrooke / Côte-des-Neiges,Sherbrooke / Peel,18:47,,F,
2023-02-13,21:15,24,Sherbrooke,West,39-023,Sherbrooke / Hutchison,Sherbrooke / Côte-des-Neiges,,,F,
2023-02-14,16:10,1,Green Line,West,10-612,Station Peel,Station Lionel-Groulx,,,F,
2023-02-14,,1,Green Line,East,78-061,Station Lionel-Groulx,Station Guy-Concordia,17:58,,F,
2023-02-14,20:36,144,Av. des Pins,East,31-020,Dr-Penfield / Côte-des-Neiges,Dr-Penfield / Peel,20:39,,F,
2023-02-15,12:55,144,Av. des Pins,East,31-011,Dr-Penfield / Côte-des-Neiges,Dr-Penfield / Réservoir Mctavish,13:00,,F,
2023-02-16,1:10,165,Côte-des-Neiges,North,33-805,Station Guy-Concordia,Côte-des-Neiges / Peltrie,1:26,,F,
2023-02-16,1:46,369,Côte-des-Neiges,South,31-189,Côte-des-Neiges / Peltrie,Côte-des-Neiges / Summerhill,1:57,,F,
2023-02-16,15:23,24,Sherbrooke,West,39-023,Sherbrooke / Mansfield,Sherbrooke / Côte-des-Neiges,15:29,,F,
2023-02-16,17:19,1,Green Line,West,78-020,Station Guy-Concordia,Station Lionel-Groulx,17:23,,F,
2023-02-16,18:02,1,Green Line,East,10-699,Station Lionel-Groulx,Station Guy-Concordia,18:06,,F,
2023-02-19,0:05,144,Av. des Pins,West,29-066,des Pins / Parc,des Pins / Côte-des-Neiges,,No dash,F,
2023-02-21,10:36,24,Sherbrooke,East,31-084,Sherbrooke / Côte-des-Neiges,Sherbrooke / de Bleury ,10:46,,F,
2023-02-21,17:41,144,Av. des Pins,East,29-063,des Pins / University,des Pins / Parc,17:44,Ghost ,F,
2023-02-21,23:09,144,Av. des Pins,West,29-011,des Pins / Parc,des Pins / Côte-des-Neiges,23:14,"Late, no dash",F,
2023-02-22,16:07,144,Av. des Pins,West,31-019,des Pins / Parc,des Pins / Côte-des-Neiges,16:17,,F,
2023-02-23,12:27,144,Av. des Pins,East,32-005,Dr-Penfield / Côte-des-Neiges,Dr-Penfield / Réservoir McTavish,12:30,,F,
2023-02-23,13:45,24,Sherbrooke,West,31-179,Sherbrooke / Mansfield,Sherbrooke / Côte-des-Neiges,13:51,Bike rack; geog314 exam canceled due to fire alarm,F,
2023-02-24,9:22,24,Sherbrooke,East,39-018,Sherbrooke / Côte-des-Neiges,Université McGill,9:29,,F,
2023-02-24,20:50,24,Sherbrooke,East,39-018,Sherbrooke / Côte-des-Neiges,Sherbrooke / Peel,20:54,,F,
2023-02-25,0:08,1,Green Line,West,10-598,Station Peel,Station Guy-Concordia,0:09,fucking cold out! to 165,T,
2023-02-25,0:12,165,Côte-des-Neiges,North,33-844,Station Guy-Concordia,Côte-des-Neiges / Summerhill,0:15,from 1,T,
2023-02-25,17:36,1,Green Line,West,10-701,Station Berri-UQAM,Station Guy-Concordia,17:41,with bike,F,
2023-02-25,21:05,1,Green Line,East,79-687,Station Guy-Concordia,Station Place-des-Arts,21:09,To Claire's party / nuit blanche,F,
2023-02-25,23:21,1,Green Line,West,79-687,Station St-Laurent,Station Guy-Concordia,23:28,got a lil tattoo at eva b!; to 165,T,
2023-02-25,23:30,165,Côte-des-Neiges ,North,39-808,Station Guy-Concordia,Côte-des-Neiges / Summerhill,23:36,from 1,T,
2023-02-26,18:18,TTC_1,Vaughn Metropolitan Centre,South,6012,Lawrence,Bloor,18:31,to TTC_2,T,METRO
